	tokens	surprisal
0	The	14.57474567316113
1	book	14.626087557248292
2	of	18.235530988647774
3	the	19.09117642250541
4	generation	11.915548741787093
5	of	16.132639524076172
6	Jesus	9.963508753097237
7	Christ	13.814863541320351
8	the	19.62611768426785
9	son	19.37861511752597
10	of	15.120558000701019
11	David	11.001471115466556
12	the	15.922278209098103
13	son	16.642244784926632
14	of	15.891976044708041
15	Abraham	13.70704414463857
16	Abraham	16.14101905295186
17	begat	30.651594175497166
18	Isaac	11.783962900581777
19	and	15.647245840658695
20	Isaac	10.744009917842718
21	begat	35.84762633205822
22	Jacob	11.922762289339975
23	and	14.4194998906753
24	Jacob	11.97989341857626
25	begat	38.548530126592
26	Judas	32.857347912568045
27	and	21.379114152688064
28	his	12.3897299491101
29	brethren	18.98770862583371
30	And	14.099173720048318
31	Judas	42.392018236328425
32	begat	36.67716796468084
33	Phares	36.27503561861241
34	and	19.013471500678968
35	Zara	31.49407376614029
36	of	17.515237449027126
37	Thamar	41.59941199643693
38	and	14.687278349663073
39	Phares	42.37805599584388
40	begat	36.144251473646186
41	Esrom	37.178633199497995
42	and	14.08891408873171
43	Esrom	36.86836329155446
44	begat	38.13886626276637
45	Aram	17.178782770002815
46	And	12.443597790956652
47	Aram	15.482092053878821
48	begat	39.44041551920015
49	Aminadab	33.56637998224053
50	and	16.582767351205412
51	Aminadab	51.78943689976735
52	begat	37.24435312701862
53	Naasson	37.954108783747095
54	and	15.827509007606107
55	Naasson	49.824514809354476
56	begat	37.25357510335664
57	Salmon	19.027210092537004
58	And	16.34273291227443
59	Salmon	18.890667640446146
60	begat	37.85502953246595
61	Booz	33.192016219347636
62	of	18.772933055063156
63	Rachab	40.10789473858835
64	and	17.830220847217625
65	Booz	40.32732669788264
66	begat	36.98454965950246
67	Obed	30.519952780265676
68	of	19.23317278624921
69	Ruth	17.51869314530105
70	and	20.59421060710861
71	Obed	41.81757831791291
72	begat	38.761838405513146
73	Jesse	14.593083331790575
74	And	17.46181284444734
75	Jesse	16.228660453637396
76	begat	37.645156961349315
77	David	9.036025678445098
78	the	17.888196984946404
79	king	12.75121652038034
80	and	17.659225307123375
81	David	9.853740074573746
82	the	11.087076775735996
83	king	12.388863280197159
84	begat	36.7297570847109
85	Solomon	11.42291305995509
86	of	18.948396400405855
87	her	19.30017743467576
88	that	12.360109865800723
89	had	9.191965071411072
90	been	10.479478668889021
91	the	17.131114254113026
92	wife	15.830240417132487
93	of	16.93227335540715
94	Urias	35.90367438783788
95	And	15.038522926637583
96	Solomon	12.451587976382466
97	begat	38.739933222357024
98	Roboam	31.809691598663434
99	and	13.363651739696662
100	Roboam	34.88879788900579
101	begat	34.39184661290896
102	Abia	24.67215601316306
103	and	13.628553417348925
104	Abia	26.13679115175568
105	begat	34.650532866549874
106	Asa	35.61911677607408
107	And	15.923624256385423
108	Asa	35.08836237117912
109	begat	35.406402997613895
110	Josaphat	45.99413050094777
111	and	16.20170896794828
112	Josaphat	53.96653790764694
113	begat	35.55987079547508
114	Joram	42.68199985933946
115	and	15.805694160448747
116	Joram	55.41806604132666
117	begat	36.25919311655831
118	Ozias	36.910572187240255
119	And	14.485341199549536
120	Ozias	40.39280930338555
121	begat	35.40303174829886
122	Joatham	32.38775104789632
123	and	17.100815693873834
124	Joatham	32.298561069883064
125	begat	36.57125400000346
126	Achaz	29.668913281072143
127	and	16.161311753283428
128	Achaz	34.8141482181958
129	begat	37.144378405127284
130	Ezekias	38.5970753178067
131	And	14.570357272194173
132	Ezekias	38.17095845341156
133	begat	34.31748934850996
134	Manasses	36.037293457226454
135	and	17.888027491592396
136	Manasses	39.79145277089485
137	begat	35.18849738677328
138	Amon	23.1829138772006
139	and	15.465380676341818
140	Amon	22.066276122180547
141	begat	35.35593343446605
142	Josias	39.581691751786806
143	And	15.153317199694099
144	Josias	38.90643350344304
145	begat	36.49320499041779
146	Jechonias	71.16269519419393
147	and	19.917099436656915
148	None	None
149	None	None
150	None	None
151	None	None
152	None	None
153	None	None
154	None	None
155	None	None
156	None	None
157	None	None
158	None	None
159	None	None
160	None	None
161	None	None
162	None	None
163	None	None
164	None	None
165	None	None
166	None	None
167	None	None
168	None	None
169	None	None
170	None	None
171	None	None
172	None	None
173	None	None
174	None	None
175	None	None
176	None	None
177	None	None
178	None	None
179	None	None
180	None	None
181	None	None
182	None	None
183	None	None
184	None	None
185	None	None
186	None	None
187	None	None
188	None	None
189	None	None
190	None	None
191	None	None
192	None	None
193	None	None
194	None	None
195	None	None
196	None	None
197	None	None
198	None	None
199	None	None
200	None	None
201	None	None
202	None	None
203	None	None
204	None	None
205	None	None
206	None	None
207	None	None
208	None	None
209	None	None
210	None	None
211	None	None
212	None	None
213	None	None
214	None	None
215	None	None
216	None	None
217	None	None
218	None	None
219	None	None
220	None	None
221	None	None
222	None	None
223	None	None
224	None	None
225	None	None
226	None	None
227	None	None
228	None	None
229	None	None
230	None	None
231	None	None
232	None	None
233	None	None
234	None	None
235	None	None
236	None	None
237	None	None
238	None	None
239	None	None
240	None	None
241	None	None
242	None	None
243	None	None
244	None	None
245	None	None
246	None	None
247	None	None
248	None	None
249	None	None
250	None	None
251	None	None
252	None	None
253	None	None
254	None	None
255	None	None
256	None	None
257	None	None
258	None	None
259	None	None
260	None	None
261	None	None
262	None	None
263	None	None
264	None	None
265	None	None
266	None	None
267	None	None
268	None	None
269	None	None
270	None	None
271	None	None
272	None	None
273	None	None
274	None	None
275	None	None
276	None	None
277	None	None
278	None	None
279	None	None
280	None	None
281	None	None
282	None	None
283	None	None
284	None	None
285	None	None
286	None	None
287	None	None
288	None	None
289	None	None
290	None	None
291	None	None
292	None	None
293	None	None
294	None	None
295	None	None
296	None	None
297	None	None
298	None	None
299	None	None
300	None	None
301	None	None
302	None	None
303	None	None
304	None	None
305	None	None
306	None	None
307	None	None
308	None	None
309	None	None
310	None	None
311	None	None
312	None	None
313	None	None
314	None	None
315	None	None
316	None	None
317	None	None
318	None	None
319	None	None
320	None	None
321	None	None
322	None	None
323	None	None
324	None	None
325	None	None
326	None	None
327	None	None
328	None	None
329	None	None
330	None	None
331	None	None
332	None	None
333	None	None
334	None	None
335	None	None
336	None	None
337	None	None
338	None	None
339	None	None
340	None	None
341	None	None
342	None	None
343	None	None
344	None	None
345	None	None
346	None	None
347	None	None
348	None	None
349	None	None
350	None	None
351	None	None
352	None	None
353	None	None
354	None	None
355	None	None
356	None	None
357	None	None
358	None	None
359	None	None
360	None	None
361	None	None
362	None	None
363	None	None
364	None	None
365	None	None
366	None	None
367	None	None
368	None	None
369	None	None
370	None	None
371	None	None
372	None	None
373	None	None
374	None	None
375	None	None
376	None	None
377	None	None
378	None	None
379	None	None
380	None	None
381	None	None
382	None	None
383	None	None
384	None	None
385	None	None
386	None	None
387	None	None
388	None	None
389	None	None
390	None	None
391	None	None
392	None	None
393	None	None
394	None	None
395	None	None
396	None	None
397	None	None
398	None	None
399	None	None
400	None	None
401	None	None
402	None	None
403	None	None
404	None	None
405	None	None
406	None	None
407	None	None
408	None	None
409	None	None
410	None	None
411	None	None
412	None	None
413	None	None
414	None	None
415	None	None
416	None	None
417	None	None
418	None	None
419	None	None
420	None	None
421	None	None
422	None	None
423	None	None
424	None	None
425	None	None
426	None	None
427	None	None
428	None	None
429	None	None
430	None	None
431	None	None
432	None	None
433	None	None
434	None	None
435	None	None
436	None	None
437	None	None
438	None	None
439	None	None
440	None	None
441	None	None
442	None	None
443	None	None
444	None	None
445	None	None
446	None	None
447	None	None
448	None	None
449	None	None
450	None	None
451	None	None
452	None	None
453	None	None
454	None	None
455	None	None
456	None	None
457	None	None
458	None	None
459	None	None
460	None	None
461	None	None
462	None	None
463	None	None
464	None	None
465	None	None
466	None	None
467	None	None
468	None	None
469	None	None
470	None	None
471	None	None
472	None	None
473	Now	17.036875492966107
474	when	13.381848097975025
475	Jesus	11.49107644634516
476	was	18.26042301274403
477	born	12.514146006601932
478	in	14.919180846259307
479	Bethlehem	20.853855542723633
480	of	19.17418649463517
481	Judaea	40.84686108403746
482	in	16.357507437614828
483	the	14.964064575234374
484	days	15.28837177750857
485	of	17.26213212309136
486	Herod	20.539307517927686
487	the	18.657611542574852
488	king	14.275020653971456
489	behold	19.200027247141644
490	there	17.01911728910517
491	came	12.86533726646032
492	wise	13.526275921161785
493	men	16.27938373462486
494	from	13.795953401406774
495	the	14.902631536028876
496	east	12.749417780461023
497	to	14.864740843598037
498	Jerusalem	20.777743697068424
499	Saying	23.202162176807295
500	Where	13.80772283985723
501	is	11.85018125997703
502	he	8.276899884573016
503	that	10.147664901200125
504	is	11.432455371188864
505	born	13.362941142815478
506	King	12.283485493787953
507	of	15.54312599659468
508	the	17.199118856336458
509	Jews	19.146408029502023
510	for	13.516804431310092
511	we	9.61297111042516
512	have	14.614078765524699
513	seen	16.47318176796499
514	his	17.296385749354727
515	star	13.467086717984968
516	in	17.75771948588396
517	the	18.152812059070307
518	east	10.928660723452547
519	and	12.788936214127553
520	are	15.442471091175861
521	come	11.259258930837554
522	to	12.909190901382413
523	worship	13.777396841601515
524	him	11.999877037644884
525	When	13.586913285376943
526	Herod	18.515574852619427
527	the	19.414864495105594
528	king	11.652479732791159
529	had	10.215463795519613
530	heard	16.01298186917707
531	these	11.440745690023617
532	things	15.111706013605891
533	he	11.654224035403622
534	was	16.788668059712098
535	troubled	23.545851092023234
536	and	15.859937113087641
537	all	10.632268658354906
538	Jerusalem	14.96462816335116
539	with	16.41809710233721
540	him	14.163436819857056
541	And	12.718420255677891
542	when	9.316198363064846
543	he	13.476240770898027
544	had	9.363540547566524
545	gathered	14.33315741393595
546	all	10.36687305889861
547	the	15.370318991099337
548	chief	12.058809076070636
549	priests	17.50001717181678
550	and	16.21263453733462
551	scribes	41.71133759468865
552	of	18.657246965100764
553	the	15.96305942162369
554	people	13.88831588090011
555	together	9.699498989594124
556	he	10.140385596547878
557	demanded	18.941114125859254
558	of	17.687128397778576
559	them	11.723295257812376
560	where	11.64469649445403
561	Christ	13.042242831852079
562	should	13.82796566447765
563	be	8.39665414574985
564	born	12.254094504963255
565	And	13.45332063194669
566	they	10.582710813118824
567	said	13.6320571480334
568	unto	19.159063163435448
569	him	11.784533802234677
570	In	14.517572865764059
571	Bethlehem	17.562800361852503
572	of	18.286799466940433
573	Judaea	45.44986961866243
574	for	10.3241195059936
575	thus	11.095848039688205
576	it	10.666518677805122
577	is	16.097614396227794
578	written	10.669394629981037
579	by	13.634199940346255
580	the	14.71160546025892
581	prophet	16.425504635804725
582	And	11.91505929234178
583	thou	20.080360576493508
584	Bethlehem	17.14600815500108
585	in	19.486133401708177
586	the	19.054096939082907
587	land	17.294126456683575
588	of	18.16297038826746
589	Juda	21.674669837528583
590	art	17.593396627758633
591	not	10.169078568454001
592	the	17.242174409934538
593	least	15.085129870615683
594	among	14.69784207816035
595	the	13.720196036518583
596	princes	19.299909051911126
597	of	17.30614385379223
598	Juda	22.9213693268896
599	for	10.208921293002863
600	out	14.396189860153113
601	of	17.6359775895684
602	thee	20.50568627285337
603	shall	11.542744633111704
604	come	10.996354106977853
605	a	21.212496333632743
606	Governor	16.809395670516903
607	that	10.128069859027395
608	shall	11.523817582542879
609	rule	15.197136682247923
610	my	17.444411858133122
611	people	15.821333933392767
612	Israel	14.977255123277377
613	Then	11.239240567840575
614	Herod	18.786093789295233
615	when	10.264856163901122
616	he	13.842856330522466
617	had	9.27808163052977
618	privily	40.2378540667874
619	called	13.460340048224126
620	the	16.585820605330287
621	wise	13.1072816396423
622	men	14.848552311033327
623	enquired	41.09665012962725
624	of	16.628993794406448
625	them	12.857182910070682
626	diligently	19.75692584484145
627	what	10.838582369930915
628	time	15.590657753984043
629	the	17.901036247713815
630	star	19.1984256292092
631	appeared	14.66676560702855
632	And	11.618511176664489
633	he	11.6960912153325
634	sent	14.952298102693087
635	them	10.140177854599875
636	to	13.524207578258029
637	Bethlehem	19.653895760950185
638	and	12.893689626134021
639	said	12.149915531252326
640	Go	15.199153210533813
641	and	17.580065917554247
642	search	15.91068482056234
643	diligently	20.43244074924791
644	for	13.335941338799962
645	the	18.54948909624429
646	young	9.091454001046376
647	child	13.579315638121972
648	and	11.97222727307696
649	when	9.37060869195789
650	ye	17.51722822570395
651	have	16.683614601485885
652	found	11.218673007327464
653	him	10.991309801004707
654	bring	18.649395682514008
655	me	13.343948027951281
656	word	16.531787768290826
657	again	11.863394160946456
658	that	10.2459238725714
659	I	14.56323966624194
660	may	14.790055870070704
661	come	12.319016552301848
662	and	14.142146443714699
663	worship	15.048575826699045
664	him	11.004213444354189
665	also	13.697434701371998
666	When	13.142824440572591
667	they	14.670507747391262
668	had	9.702712441512537
669	heard	14.193369552465354
670	the	18.090218042040156
671	king	13.864559678861783
672	they	12.553643600794071
673	departed	17.71304622097373
674	and	10.36910590323927
675	lo	20.925096138938414
676	the	17.75946586992414
677	star	16.94177799762121
678	which	13.322427446931826
679	they	15.44079856357434
680	saw	15.668896358679296
681	in	21.678761651605726
682	the	18.406656980611466
683	east	13.320752084010559
684	went	13.22023516545601
685	before	13.794402707050102
686	them	14.356600888682516
687	till	11.941317548622743
688	None	None
689	None	None
690	None	None
691	None	None
692	None	None
693	None	None
694	None	None
695	None	None
696	None	None
697	None	None
698	None	None
699	None	None
700	None	None
701	None	None
702	None	None
703	None	None
704	None	None
705	None	None
706	None	None
707	None	None
708	None	None
709	None	None
710	None	None
711	None	None
712	None	None
713	None	None
714	None	None
715	None	None
716	None	None
717	None	None
718	None	None
719	None	None
720	None	None
721	None	None
722	None	None
723	None	None
724	None	None
725	None	None
726	None	None
727	None	None
728	None	None
729	None	None
730	None	None
731	None	None
732	None	None
733	None	None
734	None	None
735	None	None
736	None	None
737	None	None
738	None	None
739	None	None
740	None	None
741	None	None
742	None	None
743	None	None
744	None	None
745	None	None
746	None	None
747	None	None
748	None	None
749	None	None
750	None	None
751	None	None
752	None	None
753	None	None
754	None	None
755	None	None
756	None	None
757	None	None
758	None	None
759	None	None
760	None	None
761	None	None
762	None	None
763	None	None
764	None	None
765	None	None
766	None	None
767	None	None
768	None	None
769	None	None
770	None	None
771	None	None
772	None	None
773	None	None
774	None	None
775	None	None
776	None	None
777	None	None
778	None	None
779	None	None
780	None	None
781	None	None
782	None	None
783	None	None
784	None	None
785	None	None
786	None	None
787	None	None
788	None	None
789	None	None
790	None	None
791	None	None
792	None	None
793	None	None
794	None	None
795	None	None
796	None	None
797	None	None
798	None	None
799	None	None
800	None	None
801	None	None
802	None	None
803	None	None
804	None	None
805	None	None
806	None	None
807	None	None
808	None	None
809	None	None
810	None	None
811	None	None
812	None	None
813	None	None
814	None	None
815	None	None
816	None	None
817	None	None
818	None	None
819	None	None
820	None	None
821	None	None
822	None	None
823	None	None
824	None	None
825	None	None
826	None	None
827	None	None
828	None	None
829	None	None
830	None	None
831	None	None
832	None	None
833	None	None
834	None	None
835	None	None
836	None	None
837	None	None
838	None	None
839	None	None
840	None	None
841	None	None
842	None	None
843	None	None
844	None	None
845	None	None
846	None	None
847	None	None
848	None	None
849	None	None
850	None	None
851	None	None
852	None	None
853	None	None
854	None	None
855	None	None
856	None	None
857	None	None
858	None	None
859	None	None
860	None	None
861	None	None
862	None	None
863	None	None
864	None	None
865	None	None
866	None	None
867	None	None
868	None	None
869	None	None
870	None	None
871	None	None
872	None	None
873	None	None
874	None	None
875	None	None
876	None	None
877	None	None
878	None	None
879	None	None
880	None	None
881	None	None
882	None	None
883	None	None
884	None	None
885	None	None
886	None	None
887	None	None
888	None	None
889	None	None
890	None	None
891	None	None
892	None	None
893	None	None
894	None	None
895	None	None
896	None	None
897	None	None
898	None	None
899	None	None
900	None	None
901	None	None
902	None	None
903	None	None
904	None	None
905	None	None
906	None	None
907	None	None
908	None	None
909	None	None
910	None	None
911	None	None
912	None	None
913	None	None
914	None	None
915	None	None
916	None	None
917	None	None
918	None	None
919	None	None
920	None	None
921	None	None
922	None	None
923	None	None
924	None	None
925	None	None
926	None	None
927	None	None
928	None	None
929	None	None
930	None	None
931	None	None
932	None	None
933	None	None
934	None	None
935	None	None
936	None	None
937	None	None
938	None	None
939	None	None
940	None	None
941	None	None
942	None	None
943	None	None
944	None	None
945	None	None
946	None	None
947	None	None
948	None	None
949	None	None
950	None	None
951	None	None
952	None	None
953	None	None
954	None	None
955	None	None
956	None	None
957	None	None
958	None	None
959	None	None
960	None	None
961	None	None
962	None	None
963	None	None
964	None	None
965	None	None
966	None	None
967	None	None
968	None	None
969	None	None
970	None	None
971	None	None
972	None	None
973	None	None
974	None	None
975	None	None
976	None	None
977	None	None
978	None	None
979	None	None
980	None	None
981	None	None
982	None	None
983	None	None
984	None	None
985	None	None
986	None	None
987	None	None
988	None	None
989	None	None
990	None	None
991	None	None
992	None	None
993	None	None
994	None	None
995	None	None
996	None	None
997	None	None
998	None	None
999	None	None
1000	None	None
1001	None	None
1002	None	None
1003	None	None
1004	None	None
1005	None	None
1006	None	None
1007	None	None
1008	None	None
1009	None	None
1010	None	None
1011	None	None
1012	None	None
1013	None	None
1014	None	None
1015	None	None
1016	None	None
1017	None	None
1018	None	None
1019	None	None
1020	None	None
1021	None	None
1022	None	None
1023	None	None
1024	None	None
1025	None	None
1026	None	None
1027	None	None
1028	None	None
1029	None	None
1030	None	None
1031	None	None
1032	None	None
1033	None	None
1034	None	None
1035	None	None
1036	None	None
1037	None	None
1038	None	None
1039	None	None
1040	None	None
1041	None	None
1042	None	None
1043	None	None
1044	None	None
1045	None	None
1046	None	None
1047	None	None
1048	None	None
1049	None	None
1050	None	None
1051	None	None
1052	None	None
1053	None	None
1054	None	None
1055	None	None
1056	None	None
1057	None	None
1058	None	None
1059	None	None
1060	None	None
1061	None	None
1062	None	None
1063	None	None
1064	None	None
1065	None	None
1066	None	None
1067	None	None
1068	None	None
1069	None	None
1070	None	None
1071	None	None
1072	None	None
1073	None	None
1074	None	None
1075	None	None
1076	None	None
1077	None	None
1078	None	None
1079	None	None
1080	None	None
1081	None	None
1082	None	None
1083	None	None
1084	None	None
1085	None	None
1086	None	None
1087	None	None
1088	None	None
1089	None	None
1090	None	None
1091	None	None
1092	In	17.411166780776377
1093	those	12.335670886678141
1094	days	15.981120334978193
1095	came	15.657841892353561
1096	John	8.625552807814367
1097	the	12.29197839475324
1098	Baptist	13.7308412103467
1099	preaching	16.51000434966379
1100	in	16.425086276276268
1101	the	15.474703826602058
1102	wilderness	14.759055561940459
1103	of	17.970006819578572
1104	Judaea	44.96136291009591
1105	And	18.898063589828332
1106	saying	14.017341369466806
1107	Repent	28.598704455076543
1108	ye	17.198493812038585
1109	for	13.778600210828236
1110	the	16.527857673029903
1111	kingdom	14.747878590899049
1112	of	13.151406857271636
1113	heaven	18.437462574709
1114	is	15.791748522001038
1115	at	15.283517834950505
1116	hand	10.966430303406842
1117	For	14.09675904003957
1118	this	7.438979333574715
1119	is	13.114706539733215
1120	he	9.93876775734218
1121	that	9.483696412806486
1122	was	15.120955931661298
1123	spoken	13.89546267038629
1124	of	11.031053338195521
1125	by	13.018268375325015
1126	the	13.347355325273963
1127	prophet	17.256804527628194
1128	Esaias	42.917002167100094
1129	saying	14.410308854959833
1130	The	13.539071595698873
1131	voice	15.896493511271153
1132	of	18.95491928084288
1133	one	10.748316066312507
1134	crying	16.86985162938331
1135	in	13.602746578732098
1136	the	21.07177369549394
1137	wilderness	17.53710150258705
1138	Prepare	23.4379702748491
1139	ye	18.589874249783755
1140	the	18.643128166705225
1141	way	13.380269315748986
1142	of	18.707902384449067
1143	the	15.76944707941691
1144	Lord	9.314443916545155
1145	make	13.4112480844212
1146	his	15.868630014571313
1147	paths	17.218532422989043
1148	straight	10.657025659432161
1149	And	9.577634132152765
1150	the	16.073135152817073
1151	same	13.07584878604187
1152	John	11.333471819155887
1153	had	9.096276073857943
1154	his	14.680565606114365
1155	raiment	47.73152021023492
1156	of	17.374302860511246
1157	camel's	35.929314629700556
1158	hair	12.313265889195405
